start_date,end_date,dt_years,retreat_km2,advance_km2,net_km2,retreat_rate_km2_per_yr,advance_rate_km2_per_yr,net_rate_km2_per_yr,front_perimeter_km,linear_retreat_rate_m_per_yr,n_retreat_points,point_rate_mean_m_per_yr,point_rate_median_m_per_yr,point_rate_p10_m_per_yr,point_rate_p25_m_per_yr,point_rate_p75_m_per_yr,point_rate_p90_m_per_yr,point_rate_max_m_per_yr,point_rate_min_m_per_yr,n_front_points,front_rate_mean_m_per_yr,front_rate_median_m_per_yr,front_rate_p10_m_per_yr,front_rate_p25_m_per_yr,front_rate_p75_m_per_yr,front_rate_p90_m_per_yr,front_rate_max_m_per_yr,front_rate_min_m_per_yr
2008-03-15,2009-03-15,0.999315537303217,4261.75,2375.5,-1886.25,4264.669006849315,2377.1270547945205,-1887.5419520547946,50448.0,84.53593813132959,17047,1807.0250244140625,500.34246826171875,500.34246826171875,500.34246826171875,1000.6849365234375,4563.64824218747,20684.18359375,500.34246826171875,10643,803.3319702148438,500.34246826171875,500.34246826171875,500.34246826171875,707.5911254882812,1000.6849365234375,20684.18359375,500.34246826171875
2009-03-15,2010-03-15,0.999315537303217,8051.0,4401.75,-3649.25,8056.514383561644,4404.764897260274,-3651.74948630137,50750.0,158.74905189284027,32204,13647.7666015625,5003.4248046875,500.34246826171875,1118.7998046875,19429.787109375,44667.159765625,73536.7265625,500.34246826171875,5688,5288.66455078125,707.5911254882812,500.34246826171875,500.34246826171875,2830.364501953125,12541.539746093751,73536.7265625,500.34246826171875
2010-03-15,2011-03-15,0.999315537303217,2340.75,4311.0,1970.25,2342.3532534246574,4313.952739726027,1971.5994863013698,49980.0,46.86581139305037,9363,1319.9322509765625,707.5911254882812,500.34246826171875,500.34246826171875,1501.02734375,3002.0546875,8251.859375,500.34246826171875,3975,1038.234375,500.34246826171875,500.34246826171875,500.34246826171875,1000.6849365234375,2122.773193359375,8251.859375,500.34246826171875
2011-03-15,2012-03-15,1.002053388090349,2887.25,4193.25,1306.0,2881.3335040983607,4184.657274590164,1303.3237704918033,50112.0,57.49787484232042,11549,18823.513671875,11648.6982421875,498.97540283203125,997.9508056640625,32860.4765625,50293.15156250005,75252.703125,498.97540283203125,2824,8636.19921875,705.6577758789062,498.97540283203125,498.97540283203125,4114.65673828125,34215.665625000016,75252.703125,498.97540283203125
2012-03-15,2013-03-15,0.999315537303217,3678.0,4633.0,955.0,3680.519178082192,4636.173287671233,955.6541095890411,49768.0,73.9535279312448,14712,9411.9912109375,5003.4248046875,500.34246826171875,1000.6849365234375,15583.0771484375,26480.361328125,35801.59375,500.34246826171875,2709,3498.664794921875,500.34246826171875,500.34246826171875,500.34246826171875,1415.1822509765625,6407.509765625,35801.59375,500.34246826171875
2013-03-15,2014-03-15,0.999315537303217,5088.0,3923.25,-1164.75,5091.4849315068495,3925.9371575342466,-1165.5477739726027,49887.0,102.06035503251046,20352,3151.651123046875,1118.7998046875,500.34246826171875,500.34246826171875,4033.889892578125,9347.1689453125,20416.1796875,500.34246826171875,7252,1567.8067626953125,500.34246826171875,500.34246826171875,500.34246826171875,1118.7998046875,3164.443603515625,20416.1796875,500.34246826171875
2014-03-15,2015-03-15,0.999315537303217,4489.75,5544.5,1054.75,4492.8251712328765,5548.297602739726,1055.4724315068493,50064.0,89.74163413296733,17959,1464.4501953125,1000.6849365234375,500.34246826171875,500.34246826171875,1804.0103759765625,3502.397216796875,9198.6845703125,500.34246826171875,7141,1142.32080078125,500.34246826171875,500.34246826171875,500.34246826171875,1118.7998046875,2501.71240234375,9198.6845703125,500.34246826171875
2015-03-15,2016-03-15,1.002053388090349,1626.25,4526.0,2899.75,1622.9175204918033,4516.725409836065,2893.8078893442625,49621.0,32.706263890123196,6505,2797.114013671875,1799.0814208984375,498.97540283203125,498.97540283203125,4022.868408203125,6757.290527343777,13764.849609375,498.97540283203125,1779,1604.1728515625,498.97540283203125,498.97540283203125,498.97540283203125,1577.8988037109375,4239.806933593752,13764.849609375,498.97540283203125
2016-03-15,2017-03-15,0.999315537303217,2253.0,3765.5,1512.5,2254.5431506849313,3768.079109589041,1513.5359589041095,49625.0,45.43160001380215,9012,2247.1640625,1118.7998046875,500.34246826171875,500.34246826171875,2694.4267578125,4612.9296875,22207.541015625,500.34246826171875,2959,1812.2125244140625,707.5911254882812,500.34246826171875,500.34246826171875,2062.96484375,4125.9296875,22207.541015625,500.34246826171875
2017-03-15,2018-03-15,0.999315537303217,7252.0,3103.25,-4148.75,7256.967123287671,3105.37551369863,-4151.591609589041,49462.0,146.7180284518958,29008,14883.08984375,12008.21875,1000.6849365234375,3537.95556640625,23786.009765625,33638.49609375,51242.984375,500.34246826171875,2202,7005.35693359375,1118.7998046875,500.34246826171875,500.34246826171875,5503.76708984375,28269.562304687508,51242.984375,500.34246826171875
2018-03-15,2019-03-15,0.999315537303217,899.0,3437.75,2538.75,899.6157534246576,3440.104623287671,2540.488869863014,49359.0,18.225972029916683,3596,1746.9273681640625,1000.6849365234375,500.34246826171875,500.34246826171875,2501.71240234375,4002.73974609375,9130.3935546875,500.34246826171875,1321,1323.8536376953125,500.34246826171875,500.34246826171875,500.34246826171875,1415.1822509765625,3608.020751953125,9130.3935546875,500.34246826171875
2019-03-15,2020-03-15,1.002053388090349,3216.5,3359.5,143.0,3209.90881147541,3352.6157786885246,142.70696721311475,49391.0,64.98975140157944,12866,6988.10009765625,3632.595703125,498.97540283203125,1115.742919921875,11290.5244140625,19254.244140625,31048.943359375,498.97540283203125,2207,3034.697021484375,997.9508056640625,498.97540283203125,498.97540283203125,2687.064697265625,7056.578125,31048.943359375,498.97540283203125
2020-03-15,2021-03-15,0.999315537303217,7139.5,2817.5,-4322.0,7144.3900684931505,2819.429794520548,-4324.960273972602,49379.0,144.68478641716422,28558,5551.98876953125,3907.799560546875,500.34246826171875,1415.1822509765625,8021.10009765625,13472.1328125,26518.150390625,500.34246826171875,3986,3783.758544921875,1415.1822509765625,500.34246826171875,500.34246826171875,5083.97900390625,10701.9482421875,26518.150390625,500.34246826171875
